,dates,GHRain,GHTemp
1,2013-01-01,0,4.6842651367
2,2013-01-02,0.0027562894,8.0585021973
3,2013-01-03,0.0012677821,10.2937011719
4,2013-01-04,0.0004134891,8.9515075684
5,2013-01-05,0,8.6733093262
6,2013-01-06,0.0005397592,8.1990966797
7,2013-01-07,0.0028866979,8.4944458008
8,2013-01-08,0.0045526282,9.5202636719
9,2013-01-09,0,4.9776916504
10,2013-01-10,0,1.0708618164
11,2013-01-11,0.0017693096,2.4505004883
12,2013-01-12,0.0011596551,2.1030883789
13,2013-01-13,0.0019694849,-0.3623962402
14,2013-01-14,0.0041519338,2.5170288086
15,2013-01-15,0,0.6566162109
16,2013-01-16,0,-2.2442016602
17,2013-01-17,0.0029107306,0.2589111328
18,2013-01-18,0.0117532436,-0.9085083008
19,2013-01-19,0,-1.0111083984
20,2013-01-20,0.0016255137,-0.5923156738
21,2013-01-21,0.0008864878,-0.3174438477
22,2013-01-22,0,-1.179473877
23,2013-01-23,0,-0.4497680664
24,2013-01-24,0,-1.3829040527
25,2013-01-25,0.0298002973,-0.3982543945
26,2013-01-26,0.0024785354,5.3383789063
27,2013-01-27,0.0051113112,6.573425293
28,2013-01-28,0.0066944341,5.8436889648
29,2013-01-29,0.0115447687,9.3507080078
30,2013-01-30,0.0052876203,7.0973815918
31,2013-01-31,0.0049242123,6.8855285645
32,2013-02-01,0.0005794731,5.7460327148
33,2013-02-02,0,2.841003418
34,2013-02-03,0.0037795702,6.6942138672
35,2013-02-04,0.0025377459,6.6143188477
36,2013-02-05,0.0053886216,2.8624267578
37,2013-02-06,0.0015842053,4.2742614746
38,2013-02-07,0.0027853745,2.7803955078
39,2013-02-08,0.0022445764,3.6211547852
40,2013-02-09,0.0081478624,4.6013183594
41,2013-02-10,0.0164439253,3.800994873
42,2013-02-11,0.0008284008,1.5947265625
43,2013-02-12,0,1.3342285156
44,2013-02-13,0.0133239546,2.0927429199
45,2013-02-14,0.0088608426,7.2437744141
46,2013-02-15,0.0004336608,5.8230895996
47,2013-02-16,0,5.0479736328
