"timestep","walk-area","date","rain","temp","Ep","Qt","qt","qo","qs","qv","Smean"
1,"GH","2013-01-01",0e+00,4.68e+00,3.53e-04,4.192e+04,1.8e-03,0e+00,1.8e-03,0e+00,2.665e-02
2,"GH","2013-01-02",2.76e-03,8.06e+00,4.38e-04,3.106e+04,1.333e-03,0e+00,1.333e-03,0e+00,2.799e-02
3,"GH","2013-01-03",1.27e-03,1.03e+01,5.06e-04,2.509e+04,1.077e-03,9.6e-06,1.068e-03,7.472e-04,2.831e-02
4,"GH","2013-01-04",4.13e-04,8.95e+00,4.69e-04,2.357e+04,1.012e-03,0e+00,1.012e-03,0e+00,2.932e-02
5,"GH","2013-01-05",0e+00,8.67e+00,4.64e-04,1.991e+04,8.551e-04,0e+00,8.551e-04,0e+00,3.018e-02
6,"GH","2013-01-06",5.4e-04,8.2e+00,4.54e-04,1.727e+04,7.415e-04,0e+00,7.415e-04,0e+00,3.092e-02
7,"GH","2013-01-07",2.89e-03,8.49e+00,4.66e-04,1.558e+04,6.689e-04,1.359e-05,6.553e-04,1.947e-03,2.963e-02
8,"GH","2013-01-08",4.55e-03,9.52e+00,5.01e-04,2.002e+04,8.595e-04,4.677e-05,8.128e-04,4.045e-03,2.639e-02
9,"GH","2013-01-09",0e+00,4.98e+00,3.81e-04,3.244e+04,1.393e-03,0e+00,1.393e-03,0e+00,2.779e-02
10,"GH","2013-01-10",0e+00,1.07e+00,3.02e-04,2.572e+04,1.104e-03,0e+00,1.104e-03,0e+00,2.889e-02
11,"GH","2013-01-11",1.77e-03,2.45e+00,3.32e-04,2.156e+04,9.259e-04,7.17e-06,9.187e-04,5.903e-04,2.922e-02
12,"GH","2013-01-12",1.16e-03,2.1e+00,3.28e-04,2.044e+04,8.777e-04,7.989e-06,8.698e-04,8.205e-04,2.927e-02
13,"GH","2013-01-13",1.97e-03,-3.62e-01,2.84e-04,2.051e+04,8.807e-04,1.801e-05,8.626e-04,1.625e-03,2.851e-02
14,"GH","2013-01-14",4.15e-03,2.52e+00,3.43e-04,2.389e+04,1.026e-03,4.635e-05,9.796e-04,3.822e-03,2.566e-02
15,"GH","2013-01-15",0e+00,6.57e-01,3.09e-04,3.664e+04,1.573e-03,0e+00,1.573e-03,0e+00,2.724e-02
16,"GH","2013-01-16",0e+00,-2.24e+00,2.61e-04,2.819e+04,1.21e-03,0e+00,1.21e-03,0e+00,2.845e-02
17,"GH","2013-01-17",2.91e-03,2.59e-01,3.08e-04,2.363e+04,1.015e-03,2.546e-05,9.892e-04,1.982e-03,2.745e-02
18,"GH","2013-01-18",1.18e-02,-9.09e-01,2.9e-04,3.516e+04,1.51e-03,3.426e-04,1.167e-03,1.111e-02,1.751e-02
19,"GH","2013-01-19",0e+00,-1.01e+00,2.91e-04,1.426e+05,6.124e-03,0e+00,6.124e-03,0e+00,2.363e-02
20,"GH","2013-01-20",1.63e-03,-5.92e-01,3.03e-04,5.195e+04,2.231e-03,2.383e-05,2.207e-03,1.025e-03,2.481e-02
21,"GH","2013-01-21",8.86e-04,-3.17e-01,3.11e-04,4.252e+04,1.826e-03,1.33e-05,1.812e-03,5.719e-04,2.605e-02
22,"GH","2013-01-22",0e+00,-1.18e+00,2.99e-04,3.432e+04,1.474e-03,0e+00,1.474e-03,0e+00,2.753e-02
23,"GH","2013-01-23",0e+00,-4.5e-01,3.17e-04,2.685e+04,1.153e-03,0e+00,1.153e-03,0e+00,2.868e-02
24,"GH","2013-01-24",0e+00,-1.38e+00,3.02e-04,2.216e+04,9.513e-04,0e+00,9.513e-04,0e+00,2.963e-02
25,"GH","2013-01-25",2.98e-02,-3.98e-01,3.26e-04,9.916e+04,4.258e-03,3.446e-03,8.118e-04,2.514e-02,5.307e-03
26,"GH","2013-01-26",2.48e-03,5.34e+00,4.71e-04,1.107e+06,4.753e-02,7.33e-04,4.679e-02,1.431e-03,5.067e-02
27,"GH","2013-01-27",5.11e-03,6.57e+00,5.15e-04,6.064e+02,2.604e-05,1.668e-06,2.437e-05,4.639e-03,4.605e-02
28,"GH","2013-01-28",6.69e-03,5.84e+00,4.98e-04,1.36e+03,5.839e-05,5.804e-06,5.258e-05,6.174e-03,3.993e-02
29,"GH","2013-01-29",1.15e-02,9.35e+00,6.27e-04,4.47e+03,1.919e-04,4.608e-05,1.459e-04,1.1e-02,2.907e-02
30,"GH","2013-01-30",5.29e-03,7.1e+00,5.53e-04,2.207e+04,9.474e-04,5.656e-05,8.909e-04,4.605e-03,2.536e-02
