# r.topmodel output file for EW2Walk
# Run time: 2016-11-21 12:55:31
#
# Qt_peak [m^3/timestep]:  Peak total flow
# tt_peak [timestep]:      Peak time for total flow
# Qt_mean [m^3/timestep]:  Mean total flow
# lnTe [ln(m^2/timestep)]: ln of the average transmissivity at the soil surface
# vch [m/timestep]:        Main channel routing velocity
# vr [m/timestep]:         Internal subcatchment routing velocity
# lambda [ln(m^2)]:        Average topographic index
# qss [m/timestep]:        Saturated subsurface flow per unit area
# qs0 [m/timestep]:        Initial subsurface flow per unit area
# ntopidxclasses:          Number of topographic index classes
# dt [h]:                  Time step
# ntimesteps:              Number of time steps
# nch:                     Number of channel segments
# delay [timestep]:        Routing delay in the main channel
# tc [timestep]:           Time of concentration
# tcsub [timestep]:        Time of concentration in the subcatchment
#
# tch [timestep]:          Routing time to the catchment outlet
# Ad [m^2]:                Difference in the contribution area
# Qt [m^3/timestep]:       Total flow
# qt [m/timestep]:         Total flow per unit area
# qo [m/timestep]:         Saturated overland flow per unit area
# qs [m/timestep]:         Subsurface flow per unit area
# qv [m/timestep]:         Vertical drainage flux from unsaturated zone
# S_mean [m]:              Mean saturation deficit

Qt_peak:         1.214e+06
tt_peak:               358
Qt_mean:         3.502e+04
lnTe:            5.178e+00
vch:             4.800e+05
vr:              2.400e+05
lambda:          7.356e+00
qss:             1.133e-01
qs0:             1.800e-03
ntopidxclasses:         30
dt:              2.400e+01
ntimesteps:            730
nch:                    11
delay:                   0
tc:                      1
tcsub:                   1

       tch
 0.000e+00
 6.300e-03
 1.260e-02
 1.890e-02
 2.520e-02
 3.150e-02
 3.780e-02
 4.410e-02
 5.040e-02
 5.670e-02
 6.300e-02

        Ad
 2.329e+07

  timestep         Qt         qt         qo         qs         qv     S_mean
         1  4.192e+04  1.800e-03  0.000e+00  1.800e-03  0.000e+00  2.665e-02
         2  3.106e+04  1.333e-03  0.000e+00  1.333e-03  0.000e+00  2.799e-02
         3  2.509e+04  1.077e-03  9.600e-06  1.068e-03  7.472e-04  2.831e-02
         4  2.357e+04  1.012e-03  0.000e+00  1.012e-03  0.000e+00  2.932e-02
         5  1.991e+04  8.551e-04  0.000e+00  8.551e-04  0.000e+00  3.018e-02
         6  1.727e+04  7.415e-04  0.000e+00  7.415e-04  0.000e+00  3.092e-02
         7  1.558e+04  6.689e-04  1.359e-05  6.553e-04  1.947e-03  2.963e-02
         8  2.002e+04  8.595e-04  4.677e-05  8.128e-04  4.045e-03  2.639e-02
         9  3.244e+04  1.393e-03  0.000e+00  1.393e-03  0.000e+00  2.779e-02
        10  2.572e+04  1.104e-03  0.000e+00  1.104e-03  0.000e+00  2.889e-02
        11  2.156e+04  9.259e-04  7.170e-06  9.187e-04  5.903e-04  2.922e-02
        12  2.044e+04  8.777e-04  7.989e-06  8.698e-04  8.205e-04  2.927e-02
        13  2.051e+04  8.807e-04  1.801e-05  8.626e-04  1.625e-03  2.851e-02
        14  2.389e+04  1.026e-03  4.635e-05  9.796e-04  3.822e-03  2.566e-02
        15  3.664e+04  1.573e-03  0.000e+00  1.573e-03  0.000e+00  2.724e-02
        16  2.819e+04  1.210e-03  0.000e+00  1.210e-03  0.000e+00  2.845e-02
        17  2.363e+04  1.015e-03  2.546e-05  9.892e-04  1.982e-03  2.745e-02
        18  3.516e+04  1.510e-03  3.426e-04  1.167e-03  1.111e-02  1.751e-02
        19  1.426e+05  6.124e-03  0.000e+00  6.124e-03  0.000e+00  2.363e-02
